rank,name,matches,defence_points
412,Babu M,2,2
413,Gnanasekaran M,8,2
414,Shashank Wankhede,3,2
415,Aman Kumar,4,2
416,Sushil Vijay Bhosle,2,2
417,Anoop E.V.,2,2
418,Amit Kumar Tomar,9,2
419,Pradeep Kumar,6,2
420,Sachin Narwal,29,2
421,Ajay Kumar,30,2
422,Azad Singh,9,2
423,Lokesh Kaushik,6,2
424,N. Shiva Ramakrishna,1,2
425,M. Thivakaran,9,2
426,Sandeep Malik,1,2
427,Sumit Bhainswal,3,2
428,Ranjit Venkatramana Naik,7,2
429,Ramakrishna Suri Palla,4,2
430,Gokul Shitole,3,2
431,Dong Geon Lee,12,2
432,Gulveer Singh,2,2
433,Farhad Kamal Gharibi,2,2
434,Ehsan Zamani Fard,8,2
435,Meetu Mahender Sharma,20,2
436,Sunil Hanumanthappa,5,2
437,Lovepreet Gurdeep Singh,3,2
438,Punit Kumar Teotia,4,2
439,Heidarali Ekrami,12,2
440,Simon Kibura,4,2
441,Vikash Dilbaug Kumar,4,2
442,Gaurav Suresh Kumar,6,2
443,Rohit Dattatray Banne,6,2
444,Pawan Kumar Kadian,19,2
445,Pravin Niwale,15,2
446,Guman Singh,19,2
447,Nirbhay Narwal,2,1
448,Mohammad Ghorbani,1,1
449,Adinath Sakharam Gavali,1,1
450,Sanoj Kumar,2,1
451,R. Sriram,11,1
452,Ajvender Singh,2,1
453,Rahul Choudhary,5,1
454,Vishnu Uthaman,3,1
455,Ajay Singh,1,1
456,Ravinandan G.M.,1,1
457,Abhimanyu Kasilingam,6,1
458,Navjot Singh,1,1
459,Virender Wazir Singh,4,1
460,Hardeep Duhan,1,1
461,James Namaba Kamweti,5,1
462,Mohammad Maghshoudulu,10,1
463,Rohit Kumar Prajapat,3,1
464,Sushil Gulia,7,1
465,Rakesh Bhalle Ram,8,1
466,Nitin Chandel,3,1
467,Manish Gulia,4,1
468,Hemant Chauhan,4,1
469,Aman Kadian,4,1
470,Naveen Narwal,3,1
471,Sunil Subhash Lande,4,1
472,Sinotharan Kanesharajah,1,1
473,Mohammad Amin Nosrati,2,1
474,Aman Hooda,1,1
475,Wajid Ali,4,1
476,Atif Waheed,3,1
477,Takamitsu Kono,1,1
478,Mangesh Bhagat,8,1
479,Kedar Lal,9,1
480,Hyunil Park,2,1
481,Ravit Kumar,3,1
482,Sanjay Kumar,7,1
483,Aashish Nagar,3,1
484,Nithesh B R,2,1
485,Athul Ms,19,1
486,Anand Surendra Tomar,5,1
487,Vikram Kandola,1,1
488,Suraj Desai,12,1
489,Priyank Chandel,3,1
490,Pranay Vinay Rane,11,1
491,Vishwas S,4,1
